gene_identifier,gene_symbol,name,mapped_ncbi_identifier,comment
ENSMUSG00000051951,Xkr4,X-linked Kx blood group related 4,NCBIGene:497097,
ENSMUSG00000089699,Gm1992,predicted gene 1992,,
ENSMUSG00000102331,Gm19938,"predicted gene, 19938",,
ENSMUSG00000102343,Gm37381,"predicted gene, 37381",,
ENSMUSG00000025900,Rp1,retinitis pigmentosa 1 (human),NCBIGene:19888,
ENSMUSG00000025902,Sox17,SRY (sex determining region Y)-box 17,NCBIGene:20671,
ENSMUSG00000104238,Gm37587,"predicted gene, 37587",,
ENSMUSG00000104328,Gm37323,"predicted gene, 37323",,
ENSMUSG00000033845,Mrpl15,mitochondrial ribosomal protein L15,NCBIGene:27395,
ENSMUSG00000025903,Lypla1,lysophospholipase 1,NCBIGene:18777,
ENSMUSG00000033813,Tcea1,transcription elongation factor A (SII) 1,NCBIGene:21399,
ENSMUSG00000002459,Rgs20,regulator of G-protein signaling 20,NCBIGene:58175,
ENSMUSG00000085623,Gm16041,predicted gene 16041,NCBIGene:102631647,
ENSMUSG00000033793,Atp6v1h,"ATPase, H+ transporting, lysosomal V1 subunit H",NCBIGene:108664,
ENSMUSG00000025905,Oprk1,"opioid receptor, kappa 1",NCBIGene:18387,
ENSMUSG00000033774,Npbwr1,neuropeptides B/W receptor 1,NCBIGene:226304,
ENSMUSG00000025907,Rb1cc1,RB1-inducible coiled-coil 1,NCBIGene:12421,
ENSMUSG00000090031,4732440D04Rik,RIKEN cDNA 4732440D04 gene,,
ENSMUSG00000087247,Alkal1,ALK and LTK ligand 1,NCBIGene:620393,
ENSMUSG00000033740,St18,suppression of tumorigenicity 18,NCBIGene:240690,
ENSMUSG00000051285,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,NCBIGene:319263,
ENSMUSG00000097797,Gm26901,"predicted gene, 26901",,
ENSMUSG00000103067,Gm30414,"predicted gene, 30414",,
ENSMUSG00000025909,Sntg1,"syntrophin, gamma 1",NCBIGene:71096,
ENSMUSG00000061024,Rrs1,ribosome biogenesis regulator 1,NCBIGene:59014,
ENSMUSG00000025911,Adhfe1,"alcohol dehydrogenase, iron containing, 1",NCBIGene:76187,
ENSMUSG00000079671,2610203C22Rik,RIKEN cDNA 2610203C22 gene,,
ENSMUSG00000067879,Vxn,vexin,NCBIGene:76982,
ENSMUSG00000099827,Gm29520,predicted gene 29520,,
ENSMUSG00000025912,Mybl1,myeloblastosis oncogene-like 1,NCBIGene:17864,
ENSMUSG00000045210,Vcpip1,valosin containing protein (p97)/p47 complex interacting protein 1,NCBIGene:70675,
ENSMUSG00000097893,1700034P13Rik,RIKEN cDNA 1700034P13 gene,,
